username,post_url,post_text,likes,comments_count
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DCThdH2Sc5M,Ariana Grande reacts to an interviewer who says he met his partner and 95% of his friends through th,21061,4
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQuQ0FmDLF1,"BTS, BLACKPINK, EXO and BIGBANG will all comeback in early 2026.

BLACKPINK has postponed their come",1,0
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQqq3xqDDqD,"7 years ago today, TWICE released Yes or Yes. Rate it from 1 to 10.",112,7
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQpAwIpDEll,"People dressed as Bang Sihyuk and Min Heejin for Halloween in China, one year ago today.",1211,3
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQm2IsiDASA,"Wonho has released his full album, ""Syndrome"", along with the single, ""if you wanna"", out now on str",40,1
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQmQ3XOjFS0,"Giselle of aespa reacts to a fan commenting ""pay my tuition"":

""Okay tell me the details I'll give i",4234,4
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQj3MsQjDS2,"Kpop idols that will enlist or discharge from the military soon:

NCT's Doyoung and Jungwoo have ann",287,6
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQgdIdwjD_A,"Ice Spice performing as Sailor Moon in Tokyo, Japan",17,0
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQev0XkjMnh,"Artists that will release new music in 2026:

Next year is already full of upcoming scheduled releas",46,3
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQeudUyiOcd,Ariana Grande has been officially cast in the Season 13 of American Horror Story.,29,0
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQeT8dCjNH0,"9 years ago today, BLACKPINK released Playing With Fire.",785,4
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQcD8b-DP8-,"JYP Entertainment's global girl group, GIRLSET, has announced their comeback with ""Little Miss"", out",176,5
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQblrwyDNCQ,"Ariana Grande reacts to the Mexican crowd scream her name, 2024.

""Ariana, hermana, ya eres Mexicana",135,0
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQbTgK1DIyM,"8 years ago today, TWICE released Likey. Rate it from 1 to 10.",130,4
aboutmusicyt,https://www.threads.net/@aboutmusicyt/post/DQalA9zDOXn,"NewJeans loses their case against ADOR. NewJeans will reportedly remain with ADOR, as the court rule",342,3
