username,post_url,post_text,likes,comments_count
billboard,https://www.threads.net/@billboard/post/DQuJ7tFkqfC,"Taylor Swift, Olivia Dean and… Tame Impala? Which Pop Stars Won October 2025?
bit.ly/3LqALYb",0,0
billboard,https://www.threads.net/@billboard/post/DQuIrNBkmtm,"Jekalyn Carr Talks New ‘Legends’ Album, Maverick City Co-Founder’s Controversial Comments: ‘I May No",1,0
billboard,https://www.threads.net/@billboard/post/DQuCpYskqZ_,Watch Dolly Parton Sing to Porter Wagoner at the Grand Ole Opry From ‘Opry 100: Country’s Greatest S,3,0
billboard,https://www.threads.net/@billboard/post/DQuClgaEhSO,"Journey Plots Farewell Run With 60-Date Final Frontier Tour: ‘It’s a Full-Circle Celebration’
bit.ly",3,0
billboard,https://www.threads.net/@billboard/post/DQuCgK_EoV3,"SiriusXM Rings In the Season With Billboard Holiday Countdown
bit.ly/4owvMnm",3,0
billboard,https://www.threads.net/@billboard/post/DQt-3GjEv5q,"Bizarrap & Daddy Yankee Will Headline NFL’s First Halftime Game In Spain
bit.ly/3LohpCZ",5,0
billboard,https://www.threads.net/@billboard/post/DQt-J6Tkno-,"Why Nashville Excels at Multi-Artist Concerts: Inside Three All-Star Nights in October
bit.ly/43CGQX",6,0
billboard,https://www.threads.net/@billboard/post/DQt7kbJklXM,Behind the Scenes of ‘Wicked: For Good’ Music & Magic With Jon M. Chu & Jack Dolman | Billboard On t,5,0
billboard,https://www.threads.net/@billboard/post/DQt7G4RkpLu,"Sam Smith Talks ‘Nightmare’ of Getting Liposuction at 13: ‘I Was Just Getting So Teased’
bit.ly/47ro",3,0
billboard,https://www.threads.net/@billboard/post/DQt34XHkpn-,"Todd Snider Arrested in Salt Lake City After Alleged Assault
bit.ly/43jAAUG",3,0
billboard,https://www.threads.net/@billboard/post/DQt2Q9MElb9,"‘Snoop Dogg’s New Year’s Eve’ Special Canceled: ‘Sometimes the Calendar Gets in the Way’
bit.ly/3WHC",6,0
billboard,https://www.threads.net/@billboard/post/DQt0yc-EnH9,"Chris Brown Banks Top Two Spots on R&B/Hip-Hop Airplay Chart As ‘It Depends’ Hits No. 1
bit.ly/3JKjW",5,0
billboard,https://www.threads.net/@billboard/post/DQtyvIDEvuw,"‘KPop Demon Hunters 2’ Aiming for 2029 Release
bit.ly/4i4Uo4p",14,0
billboard,https://www.threads.net/@billboard/post/DQtw7Osku-9,"Marc Anthony Announces First-Ever Las Vegas Residency: See the Dates
bit.ly/43LHRwy",6,0
billboard,https://www.threads.net/@billboard/post/DQttrD_EpGv,"Spotify Sued Over Discovery Mode: ‘A Modern Form of Payola’
bit.ly/4nI4dpZ",4,1
