username,post_url,post_text,likes,comments_count
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DQRN8ufE3b6,WHOS YOUR BTS BIAS COMMENT BELOW ⬇️,920,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DP4PfmrjcLE,"🌅 Beach moments, forever BTS.
#BTS #JUNGKOOK #JIMIN #V #RM #JIN #SUGA #JHOPE 💜",775,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DPMqKBdDUKz,#BTS #JIN,3107,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DOofqqQjZ2C,#JUNGKOOK #BTS,3103,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DOQ8UyNDLM5,"나는 몸매를 가꾸기 위해 열심히 일해왔어 💪

#JUNGKOOK #BTS",4967,28
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DOOAfJcjEO5,"With JIMIN 🖤

#BTS #JUNGKOOK #JIMIN",2885,3
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DN8EmrwjKTB,"With Ariana 🐰 

#JUNGKOOK #BTS",2553,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DN3hWTO2iJq,"We are back

#JUNGKOOK #BTS",3161,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DNqCWTiM9pj,"We are back

#JUNGKOOK #BTS",3420,3
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DNlEbnusWaK,"우리는 돌아왔다 💕

#JUNGKOOK #TAEHYUNG #JIMIN #JIN #JHOPE #SUGA #RM #BTS #BTSARMY",1549,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DNiRqeytb9p,"💜💐

#JHOPE
#BTS",9323,3
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DNfciuJtikn,"우리는 돌아왔다 💕

#JUNGKOOK #JHOPE #SUGA",4938,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DNaZUChNScP,"영원한 가장 친한 친구 🫶🏻

#BTS #JIMIN #JUNGKOOK #JHOPE #JIN #SUGA #RM",2654,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DNX3I0FN_qF,"💜💐

#JUNGKOOK #JHOPE #V #SUGA #RM #JIMIN #JIN
#BTS",2825,4
bts.bighitoffficiai,https://www.threads.net/@bts.bighitoffficiai/post/DNNgABGNqSI,"“7 Hearts, 1 Soul 💜 | Together They Are BTS, Forever They Are Family.” 

#BTS #OT7 #BangtanBoys #BTS",1204,4
