username,post_url,post_text,likes,comments_count
buzzfeed,https://www.threads.net/@buzzfeed/post/DCB_gGjglId,fuck,6665,4
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuRlHVD1Q1,omelette du fromage! omelette du fromage!,3,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuQGPnkts3,Kim Kardashian Is Getting Defended By Fans After Critics Seemed To Only Target Her Performance In 'A,0,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuOG0aj7cK,"""You voted to cut SNAP by $186 billion. Keep New York’s name out ya' mouth.""",18,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuM9pmiB72,"""@lala is clowning.""",0,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuKuFTkwt6,“It’s Giving Let Them Eat Cake”: Here’s Why Some People Are Calling Mariah Carey’s New Christmas Com,0,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuJRWQCGME,brendan fraser + rachel weisz in a new mummy movie would heal me,12,1
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuJ5zEAJUh,"Fans Are Absolutely Delighted By Rumors Of Brendan Fraser And Rachel Weisz Returning For A New ""The ",3,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuF4Iqgn0d,"here are the items that ppl who use food pantries most want to see donated: 
-cash
-beans
-spices
-t",33,1
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuGGhJAHkL,Click to view the full list!,3,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQuDCw5AJwQ,there's no way it's called a beaver super moon,15,4
buzzfeed,https://www.threads.net/@buzzfeed/post/DQssaroD3-O,"To all the Annes, Maries, and Elizabeths, sorry but that's just too easy!",2,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQsltqxklOH,"Brooks Nader Got Real About All The Cosmetic Work She's Had Done And Her ""GLP-1 Addiction"" 
🔗: https",1,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQsiPOdCSWL,"Tramell Tillman Is Reportedly Joining Johnny Depp's ""Christmas Carol"" Adaptation And People Are Shoc",2,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQse57SAb2z,"""She Has Been On A Revenge Tour Ever Since"" — AOC Shared Why She Thinks Marjorie Taylor Greene Has B",4,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQse4_oEj6_,"""I've worked for Chick-fil-A for five years and make $20/hr.""",1,0
buzzfeed,https://www.threads.net/@buzzfeed/post/DQscLZhjpUI,"""Like A Conference Room At The Beverly Hilton"": Donald Trump Has Made Another Change To The White Ho",21,0
