username,post_url,post_text,likes,comments_count
disney,https://www.threads.net/@disney/post/DQt8Kk0EaL3,You’ve got a friend in us. 💙 A Disney Holiday Short: Best Christmas Ever is coming November 10. 🎁🎄 #,40,1
disney,https://www.threads.net/@disney/post/DQt73iGCQTM,"A magical new friend under the tree, and a year full of surprises ahead. ✨❤️ Best Christmas Ever, a ",37,1
disney,https://www.threads.net/@disney/post/DQhGeJIEQdm,"The countdown's begun, and Stitch is bringing the chaos to the most magical time of year! 🎄✨#Unleash",255,4
disney,https://www.threads.net/@disney/post/DQhCcEtkWEz,Sometimes the best holiday memories come with a little extra chaos! 💙#UnleashTheHolidays,231,4
disney,https://www.threads.net/@disney/post/DQPIieWgXKW,"Doris. The one villain that went over everyone’s 'head.' 🤖🎩

Stream Meet the Robinsons on @disneyplu",222,3
disney,https://www.threads.net/@disney/post/DQMxDluiasW,"Commander Rourke came to Atlantis for discovery but left destruction.

Stream Atlantis: The Lost Emp",215,3
disney,https://www.threads.net/@disney/post/DQHojFUCZpO,"The jungle has many dangers… but none as ruthless as Clayton.

Stream Tarzan on @disneyplus.",267,3
disney,https://www.threads.net/@disney/post/DQFq0-uiX0Z,"""Name's Hades, Lord of the dead. Hi, how ya doin'?"" - Hades 🔥

Stream Hercules on @disneyplus.

🎨 Co",303,3
disney,https://www.threads.net/@disney/post/DP_2GZoghcr,"Pink Tourmaline and Opal add a touch of magic to these beloved stories. 

Stream these titles on @di",488,2
disney,https://www.threads.net/@disney/post/DP_rycbEyWf,"“Surely we lions are not all that bad?” - Scar 🦁

Stream The Lion King on @disneyplus.

🎨 Commission",334,3
disney,https://www.threads.net/@disney/post/DP9G_w1AZNj,"""'Cause I'm a gamblin' Boogie Man. Although I don't play fair."" - Oogie Boogie 🎲

Stream Tim Burton'",153,0
disney,https://www.threads.net/@disney/post/DP61LrGCc0i,"Embrace your inner Disney Villain. 🖤

Stream these titles on @disneyplus.",286,4
disney,https://www.threads.net/@disney/post/DP5Bfp1CSFL,"Many know and fear Ursula, the witch of the sea, but her sister Morgana is just as dangerous. 🌊🖤

St",295,1
disney,https://www.threads.net/@disney/post/DP1Rsn9jtKr,"Beware of Professor Ratigan's schemes... the world's greatest criminal mind! 🐀

Stream The Great Mou",234,5
disney,https://www.threads.net/@disney/post/DPzYUnXicyh,"He's brutal and he's ruthless. The Horned King is your worst nightmare. 🔥

Stream The Black Cauldron",151,3
