username,post_url,post_text,likes,comments_count
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQEx-Axjfgg,It’s time to unmask The Talamasca. Anne Rice’s Immortal Universe expands with new supernatural spy t,10,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQuFqs1EhyN,Vince Gilligan's new series kicks off with a mystery. Watch the first four minutes of the new Apple ,2,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQuCiW7ErBi,Drake Bell and Josh Peck held a gross 'Drake and Josh' reunion with a disgusting straw prank: 'The r,2,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQt-qLhEq0J,"Set in the 1880s, Netflix's 'Death by Lightning' chronicles the presidency of James A. Garfield and ",1,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQt7p-JEiJp,Rose Byrne gets real about her dramatic turn as a mother pushed to the brink in 'If I Had Legs I'd K,2,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQt32VJEq5f,Nate Moore puts his 'Survivor' knowledge to the test as he attempts to predict what sort of twist wi,2,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQt0c3UEsAb,"'Survivor' host Jeff Probst reveals he has dropped fake spoilers in interviews just for funsies, and",3,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQtxAc3EvEH,Michelle Obama made a conscious effort not to discuss fashion 'at all' during her time as First Lady,23,1
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQttmheknlo,Crew member James 'Trapper' McEvoy died at age 64 after an incident on the set of low-budget horror ,6,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQtm0Z_Ehjr,'Dawson's Creek' star Kerr Smith recalls that people were 'angry as hell' about a memorable kiss tha,15,1
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQtf460kgol,"'How the Grinch Stole Christmas' star Taylor Momsen, who was just 7 when the movie came out, didn't ",8,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQtY_tckmc_,"'Butt Lady' Libby Adame was sentenced Wednesday, following her conviction in the death of actress Ci",4,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQtSHfOkj7o,Can't wait for 'Wicked: For Good'? NBC has reason to rejoicify! The two-hour musical special 'Wicked,13,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQtLaSCEi4_,'Survivor 49' recap: Jeff Probst tries to kick the cast into high gear by dangling the 'Survivor 50',3,0
entertainmentweekly,https://www.threads.net/@entertainmentweekly/post/DQtER10EnCQ,"Critics slammed Kim Kardashian's dramatic series 'All's Fair' across the board: 'Fascinatingly, inco",4,2
