username,post_url,post_text,likes,comments_count
filmatic,https://www.threads.net/@filmatic/post/DQuC6_8jm6N,Lalo Salamanca was first mentioned in Breaking Bad back in 2009. Tony Dalton didn’t appear until alm,12,0
filmatic,https://www.threads.net/@filmatic/post/DQsS7TsExS1,"A romantic weekend. A remote cabin. A secret that starts to unravel.

Horror Film legends are praisi",6,2
filmatic,https://www.threads.net/@filmatic/post/DQrrkkwDH7C,"“Remember, remember the fifth of November.”
V for Vendetta still feels as relevant as ever.",29,0
filmatic,https://www.threads.net/@filmatic/post/DQpLRczjF48,The scene from Apocalypto where Jaguar Paw says “This is my forest” still feels unmatched.,198,7
filmatic,https://www.threads.net/@filmatic/post/DQoyoOUjS67,From the executive producers of Slow Horses comes Down Cemetery Road. The show begins with a house e,10,0
filmatic,https://www.threads.net/@filmatic/post/DQm-NxtjnM1,Sean Penn in Ben Stiller's 'The Secret Life of Walter Mitty.' The snow leopard scene where he talks ,356,5
filmatic,https://www.threads.net/@filmatic/post/DQj7JYwjKvG,Hans Zimmer had no idea he was scoring a sci-fi movie when he started composing for Interstellar. No,20,0
filmatic,https://www.threads.net/@filmatic/post/DQhYFJ4Dgnr,Keira Knightley and Matthew Macfadyen in Joe Wright’s Pride and Prejudice — one of cinema’s most int,28,0
filmatic,https://www.threads.net/@filmatic/post/DQcWJi5AHz1,"The “You are not serious people” speech remains one of Succession’s most iconic scenes. Also, this i",30,0
filmatic,https://www.threads.net/@filmatic/post/DQW4taHEsIg,Tensions run deep and secrets unravel fast. 🕯️ ANNIVERSARY (2025) is a gripping thriller about a fam,14,1
filmatic,https://www.threads.net/@filmatic/post/DQULcaLElIp,Jon Hamm said he was drawn to Landman because it let him play “a man who believes he’s already lost.,105,0
filmatic,https://www.threads.net/@filmatic/post/DQPQ_kKDGVj,Rain in film is rarely just weather. 🌧️,278,4
filmatic,https://www.threads.net/@filmatic/post/DQOhHN3AAPO,"Cillian Murphy smoked more than 3,000 herbal cigarettes while filming Peaky Blinders.

He said the h",303,1
filmatic,https://www.threads.net/@filmatic/post/DQMf9PVjJbh,The great Peter Sellers at his very best. 😂,51,3
filmatic,https://www.threads.net/@filmatic/post/DQHj1FbjIqW,When Analyze This (1999) gave us the most unexpected The Godfather tribute 😂,66,0
