username,post_url,post_text,likes,comments_count
mariahcarey,https://www.threads.net/@mariahcarey/post/DQm0Mq0AP9y,My 2025 Christmastime merch including the new “It’s Time” tee is available now on amazon.com/mariahc,2132,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DQejw9cCec4,Happy Halloween from Japan!!! 👻🇯🇵,21416,22
mariahcarey,https://www.threads.net/@mariahcarey/post/DQXD17wEg_A,NOT YET!!!,38713,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DQP9k3oCCKZ,"Thank you Australia! I enjoyed ya!! ❤️
@fridayz_live",2021,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DQFANw_Ea5F,I’m so honored to be named the 2026 @musicares Person of the Year 🦋✨ Grateful to be celebrated throu,2312,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DQAaObTkQPt,Play This Song 🎶🎹,3280,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DP2cVRNCIih,"Having fun celebrating ‘Mimi’ and Here For It All in Asia!! Thank you Indonesia, Thailand, Singapore",4116,2
mariahcarey,https://www.threads.net/@mariahcarey/post/DPusLTAkSlt,Drama in the glam room... just for laughs! #InYourFeelings,3481,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DPjha79kWyf,Thank you lambily for all the love and support for HERE FOR IT ALL! Seeing this album connect the wa,2664,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DPU2jUWCBe6,"Thanks to all the partners who supported the launch of my new album HERE FOR IT ALL, it truly means ",3242,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DPSO2pLkd02,Here for all the New York moments!!,4380,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DPO59gdkfnI,Thank you @iamjhud for having me on your show @jenniferhudsonshow !!,4640,2
mariahcarey,https://www.threads.net/@mariahcarey/post/DPNQDEvkYtP,"Tune in tonight!! Singing Play This Song with @anderson._paak on @fallontonight !!

Photos: NBC/Todd",1526,3
mariahcarey,https://www.threads.net/@mariahcarey/post/DPMvd4RETfv,I'm an empire baby from the N-Y-C 🎶,6060,4
mariahcarey,https://www.threads.net/@mariahcarey/post/DPKWsAvkb9n,So excited to finally hold Here For It All in my hands!! What's everyone's favorite edition??? 💿🎧,2895,4
