username,post_url,post_text,likes,comments_count
moviemoments,https://www.threads.net/@moviemoments/post/DQpik2igYsB,Dimitrius Koloamatangi (Dek) and Elle Fanning (Thia) on the challenging physicality required when fi,1,0
moviemoments,https://www.threads.net/@moviemoments/post/DQkbS-Dgc3Q,WTF does this even mean 😂,36,10
moviemoments,https://www.threads.net/@moviemoments/post/DQgE4SIjXyT,This scene always got me 😂,61,0
moviemoments,https://www.threads.net/@moviemoments/post/DQfF1D3gWLO,"Big praise for Glen Powell’s The Running Man after advanced screenings.

Desperate to save his sick ",0,0
moviemoments,https://www.threads.net/@moviemoments/post/DQX33aLkcq9,"Jesse Eisenberg Performing Magic Tricks in NYC Ahead of Now You See Me, Now You Don't",16,0
moviemoments,https://www.threads.net/@moviemoments/post/DQCOo59jVTJ,Hollywood's depiction of George Washington versus Shane Gillis's 😂,82,0
moviemoments,https://www.threads.net/@moviemoments/post/DP9F1yljV6h,"Looks like fans on Twitter are saying ‘Black Phone 2’ is even better than its predecessor 👀🤯

Are yo",11,0
moviemoments,https://www.threads.net/@moviemoments/post/DP4PKHzEeMB,"Listening to the homies talk about vacation plans with $37
in my bank account",5,1
moviemoments,https://www.threads.net/@moviemoments/post/DP4PKn2kd4_,"Some action, some laughs, and a couple of twists, all on the Amalfi Coast 🇮🇹 “Hotel Costiera” is now",0,0
moviemoments,https://www.threads.net/@moviemoments/post/DP1tNc9iVOa,Keanu Reeves tries chicken nuggies for the first time in this exclusive clip from 'Good Fortune',111,4
moviemoments,https://www.threads.net/@moviemoments/post/DPz4QEbiFYb,"They gotta drop the historically accurate version with his ivory, lead, horse-cow-sl*ve teeth dentur",95,0
moviemoments,https://www.threads.net/@moviemoments/post/DPzhwqWAXDe,Chainsaw Man takes over New York Comic Con with giant Pochita balloons,29,0
moviemoments,https://www.threads.net/@moviemoments/post/DPwp0NPgf6F,“Fear Factor” Releases Teaser Clip of Series Reboot Hosted by Johnny Knoxville,3,0
moviemoments,https://www.threads.net/@moviemoments/post/DPwHcaikSBM,The official teaser for the untold story of a 22-year old George Washington is here,310,3
moviemoments,https://www.threads.net/@moviemoments/post/DPpJzcGjuQV,They hooked him up 💰,8,1
moviemoments,https://www.threads.net/@moviemoments/post/DPoqe7bEQqG,My girl after listening to me talk about my fantasy football team for an hour,17,1
moviemoments,https://www.threads.net/@moviemoments/post/DPoqg_-EUFB,"Stream #TheRunarounds on @primevideo today 🎸

#PrimeVideoCreator",0,0
