username,post_url,post_text,likes,comments_count
mtv,https://www.threads.net/@mtv/post/DQuIl81kU4w,"Time for role call 🫵 Raise your hand if you, like me, alsooo need to secure a ticket to the #Midnigh",13,4
mtv,https://www.threads.net/@mtv/post/DQpCzV-EdbW,"Yes, “34+35” turns five this week – but pleeeease don’t comment about how much MTV censored arianag",62,1
mtv,https://www.threads.net/@mtv/post/DQchIRYEfD8,"LONG LIVE POOT LOVATO 🤍🙂‍↕️👻

🔁 @ddlovato",59,0
mtv,https://www.threads.net/@mtv/post/DQb_sRpDZQb,"I’m here to fix your heart, @rosalia.vt ❤️‍🩹 just as “Berghain” feat. bjork & yvestumor has healed",82,0
mtv,https://www.threads.net/@mtv/post/DQXWwBjEVbz,So thiiiis is how I find out that my #VogueWorld: Hollywood invite got lost in the mail? 🤔,208,1
mtv,https://www.threads.net/@mtv/post/DQFNxcvjx4i,Date night at the AcademyMuseum Gala 2025? Nobody show these pics to my future spouse… I can’t comp,391,3
mtv,https://www.threads.net/@mtv/post/DQE7PQJDV2K,"No bitter, only sweet feelings for @madisonbeer after watching her & sean.kauf in her “bittersweet”",67,0
mtv,https://www.threads.net/@mtv/post/DQC81dGEeFo,Telling my clone that @leighannepinnock’s debut solo album is out this Friday ❤️🥹💚,34,0
mtv,https://www.threads.net/@mtv/post/DQCtZFekXP5,"It’s the MTV Instagram, of coooourse I’m gonna pretend these are my internet boyfriends 🥰💌💍

📍: Aca",69,3
mtv,https://www.threads.net/@mtv/post/DQCU2KWEXPL,"Have no fear, the musicians are here at the AcademyMuseum Gala 2025 💙",190,0
mtv,https://www.threads.net/@mtv/post/DQCKmHYjCim,The only thing in my head this morning is “I Like Ur Look” by @kimpetras – and that’s just the way I,27,0
mtv,https://www.threads.net/@mtv/post/DP68u1fERW0,"“BADDIE BADDIE” SIGHTING 👁️👄👁️

⭐️ @icespice
⭐️ anokyai 
⭐️ @sunisalee 
⭐️ @haileybieber 
⭐️ beliz",116,4
mtv,https://www.threads.net/@mtv/post/DP4XCq8kWJb,"New era, new “Changes,” new family member coming soon for @charlieputh & @puthbrooke 💙🍼 Congratulati",716,4
mtv,https://www.threads.net/@mtv/post/DP1p6IMkZNV,"Mind if I lie to my friends and tell them *I* made eye contact with rkive, uarmyhope, and thv at ",325,0
mtv,https://www.threads.net/@mtv/post/DPz9itbkYBS,"My shopping list, now that @louist91 gave us “Lemonade”: 🛒🫙💧🍋🍋🍋🧂🧊🧊",267,1
