username,post_url,post_text,likes,comments_count
netflix,https://www.threads.net/@netflix/post/DQbsdO6j1iL,At long last… we can begin. The trailer for the epic final season of STRANGER THINGS is HERE.,2581,4
netflix,https://www.threads.net/@netflix/post/DQt7jHRj5zO,Jacob Elordi taking pictures on the set of Frankenstein 📸 ❤️,94,0
netflix,https://www.threads.net/@netflix/post/DQt1FgSD5Lo,"Just google him, baby. 

The Vince Staples Show Season 2 is now on Netflix.",37,1
netflix,https://www.threads.net/@netflix/post/DQtxI1Kj65Z,Michael Shannon as President James Garfield. Matthew Macfadyen as the man who would come to kill him,207,11
netflix,https://www.threads.net/@netflix/post/DQsbEr5jGR3,The countdown begins.,2142,4
netflix,https://www.threads.net/@netflix/post/DQryE93D-xv,"Oscar Isaac reads Mary Shelley's Frankenstein. 

FRANKENSTEIN, a film by Guillermo del Toro, is comi",341,2
netflix,https://www.threads.net/@netflix/post/DQroGCojyMV,"Mr. Benedict Bridgerton 

Bridgerton Season 4 Part 1 arrives January 29 🐝 Part 2 on February 26.",963,4
netflix,https://www.threads.net/@netflix/post/DQredUpj6_l,"Mother against Mother. 

Lena Headey and Gillian Anderson go head-to-head in this gritty and cinemat",524,7
netflix,https://www.threads.net/@netflix/post/DQrXqJtD6fK,"""This baby doesn't exist"" 🫢",148,3
netflix,https://www.threads.net/@netflix/post/DQrP0YEj-wU,"Introducing Portgas D. Ace...

XOLO MARIDUEÑA IS JOINING ONE PIECE SEASON 3!!!",668,3
netflix,https://www.threads.net/@netflix/post/DQpciAGj86x,Kristen Bell telling the cast of Nobody Wants This AND YOU that Season 3 is OFFICIAL!,751,2
netflix,https://www.threads.net/@netflix/post/DQpazmHEhdg,Let us be monsters together. Guillermo del Toro's FRANKENSTEIN comes to Netflix Friday.,922,4
netflix,https://www.threads.net/@netflix/post/DQo_thzD7dg,"Ted Danson is back in A Man on the Inside Season 2 on November 20! 

Charles is going undercover as ",261,5
netflix,https://www.threads.net/@netflix/post/DQopjwPD6u-,"If they don't count to 456 perfectly, their entire team is eliminated 👀

SQUID GAME: THE CHALLENGE i",157,0
netflix,https://www.threads.net/@netflix/post/DQn8sSfkQiW,obviously,3529,4
