username,post_url,post_text,likes,comments_count
pitchfork,https://www.threads.net/@pitchfork/post/DMsamUssi8_,"The Aymara musician’s hard-drive dump of DJ edits spins together Andean folk, bro country, pop, tecn",6,0
pitchfork,https://www.threads.net/@pitchfork/post/DMflxupM3w-,"Tyler’s ninth studio album is a brisk, single-minded, and snappy dancefloor romp. He skitters throug",30,0
pitchfork,https://www.threads.net/@pitchfork/post/DMc9Ds8M53m,The tracklist is padded with generic filler straight out of a production music library that’s probab,6,1
pitchfork,https://www.threads.net/@pitchfork/post/DMYWNjjx3E9,Don’t Tap the Glass is a genuine embrace of his superstardom,25,3
pitchfork,https://www.threads.net/@pitchfork/post/DMXxenEsq0C,"What is the point of JACKBOYS 2? The most cynical reading is that it exists as a project, solely des",6,0
pitchfork,https://www.threads.net/@pitchfork/post/DMQBWQZsGxh,"On his XL debut, the British rapper-singer attempts to make the leap from bedroom tinkerer to pop au",3,0
pitchfork,https://www.threads.net/@pitchfork/post/DMNhkH0MsRn,Alex G's Headlights is named Best New Music 🏆,28,0
pitchfork,https://www.threads.net/@pitchfork/post/DMK8YXRs0WC,Pop’s youngest elder statesman continues to evolve his R&B sound by enlisting some big names from th,3,0
pitchfork,https://www.threads.net/@pitchfork/post/DMIryPUx0ac,Your guide to the best festivals,6,0
pitchfork,https://www.threads.net/@pitchfork/post/DMISrcWsrsj,Open Mike Eagle's Neighborhood Gods Unlimited is named Best New Music 🏆,12,0
pitchfork,https://www.threads.net/@pitchfork/post/DMFuoLEsBO9,"A near-reinvention, an unbridled and clear-eyed testament to their songwriting chops that hones thei",39,0
pitchfork,https://www.threads.net/@pitchfork/post/DMDQtdgs3mS,Spend your Sunday revisiting our list of the 200 best albums of the 1980s 🔗: https://pitchfork.com/f,13,0
pitchfork,https://www.threads.net/@pitchfork/post/DMDQIsNMYdW,"The Sunday Review ☀️ Tori Amos' Boys for Pele

We revisit Tori Amos’ divisive third album: a strange",24,2
pitchfork,https://www.threads.net/@pitchfork/post/DL7W8CRsnPl,"In their other band, the Bar Italia guitarists make ragged, jangly rock with the intimacy of a post-",4,0
pitchfork,https://www.threads.net/@pitchfork/post/DL44cA3MzPr,It’s… confusing,8,2
