username,post_url,post_text,likes,comments_count
popbase,https://www.threads.net/@popbase/post/DQuAwcLiL-t,"First film poster for the #MichaelJackson biopic titled ‘#Michael’, releasing April 24th.",66,0
popbase,https://www.threads.net/@popbase/post/DQuAW1RiJWI,#SZA talks to GQ Magazine about feuding with #NickiMinaj earlier this year.,53,3
popbase,https://www.threads.net/@popbase/post/DQstcygjffw,"#ZohranMamdani calls out #Trump in his victory speech, saying NYC will ""remain a city built by immig",34,1
popbase,https://www.threads.net/@popbase/post/DQsd7MnCEs0,#Tyla is honored as Global Woman of the Year at the Glamour Awards. (🎥: Glamour),27,0
popbase,https://www.threads.net/@popbase/post/DQsHSXjk672,"To celebrate the release of her new single, #Tyla is giving away a Chanel bag to one lucky fan who g",42,1
popbase,https://www.threads.net/@popbase/post/DQsBX9eAfwY,"‘KPop Demon Hunters 2’ is set to release on Netflix in 2029, Variety reports.

#posts #streaming #po",111,3
popbase,https://www.threads.net/@popbase/post/DQr6Ysrgac4,#JenniferLawrence and #EmmaStone are producing a ‘Miss Piggy’ movie with #ColeEscola writing the scr,104,1
popbase,https://www.threads.net/@popbase/post/DQr2nIqCGXf,#AnokYai has been named Model of the Year 2025 by the #FashionAwards.,6156,4
popbase,https://www.threads.net/@popbase/post/DQr2OXTARxm,"Today is National Redhead Day.

#posts #news #popculture",26,0
popbase,https://www.threads.net/@popbase/post/DQrzsOBAW2T,"The 2024 Presidential election happened one year ago today.

#posts #politics #popculture",85,6
popbase,https://www.threads.net/@popbase/post/DQrwIcOAReL,Bloomberg reports that the government shutdown is costing the U.S. economy around $15 BILLION each w,78,4
popbase,https://www.threads.net/@popbase/post/DQrpbDICX48,"#TomBrady reveals his current dog Junie is a clone of his late dog, Lua, who passed away in 2023 (vi",20,0
popbase,https://www.threads.net/@popbase/post/DQrTLCVCGPX,#ArianaGrande hints that her struggles with her music career pre-‘#Wicked’ were partially caused by ,221,4
popbase,https://www.threads.net/@popbase/post/DQrSJRFDXsl,"#ArianaGrande reminds fans that she has no plans to retire from music anytime soon:

“Of course, mus",82,2
popbase,https://www.threads.net/@popbase/post/DQqzCrdlD41,"Democrats score several election victories tonight, including:

• Zohran Mamdani (Mayor of New York ",152,2
