username,post_url,post_text,likes,comments_count
rollingstone,https://www.threads.net/@rollingstone/post/DQt94PjiEVx,".@rolemodel and @maria.themarias link up for Rolling Stone's Musicians On Musicians 2025 🎤

Two arti",17,0
rollingstone,https://www.threads.net/@rollingstone/post/DQr6xB0EVeS,"""Mamdani’s election to lead one of the largest, most diverse cities in the nation is a clear signal ",408,3
rollingstone,https://www.threads.net/@rollingstone/post/DQr6rq3kVjX,"Donald Trump was elected to a second term in office one year ago today. 

The “might makes right” po",327,4
rollingstone,https://www.threads.net/@rollingstone/post/DQrkUgEiChF,@maria.themarias performs “Nobody New” at Rolling Stone’s #MusiciansonMusicians LIVE. Watch the full,18,0
rollingstone,https://www.threads.net/@rollingstone/post/DQrgIopkTLr,"Last night in Madrid, @radiohead played their first show since 2018, performing hits like “Karma Pol",354,5
rollingstone,https://www.threads.net/@rollingstone/post/DQplxByknmD,"In a 2004 report, T.D. Allman chronicled the political curse of Dick Cheney — from Richard Nixon's a",33,1
rollingstone,https://www.threads.net/@rollingstone/post/DQpeL5vEexU,@radiohead performs “Weird Fishes/Arpeggi” at Movistar Arena in Madrid.,394,9
rollingstone,https://www.threads.net/@rollingstone/post/DQpWTWJkeho,"• Mamdani is not in the country illegally

• Mamdani does not have any connection to 9/11 or jihadis",24932,4
rollingstone,https://www.threads.net/@rollingstone/post/DQnAxJFEkKG,"The Rolling Stone Interview is now a podcast, available on all audio platforms. In our debut episode",63,0
rollingstone,https://www.threads.net/@rollingstone/post/DQmWUQrDRuI,The disgraced hip-hop mogul agreed to pay $11M to multiple women who accused him of sexual assault o,124,4
rollingstone,https://www.threads.net/@rollingstone/post/DQaKVoNEpYx,"In an excerpt from a massive new book on the making of 'Once Upon a Time in Hollywood,' Quentin Tara",33,0
rollingstone,https://www.threads.net/@rollingstone/post/DQXhwtREtFE,"""Congress built a system to guarantee their own survival and legislated one that imperils everyone e",1458,3
rollingstone,https://www.threads.net/@rollingstone/post/DQXRaoHEYvF,"If you've been humming HUNTR/X's ""Golden"" to yourself, you're not alone — the 'KPop Demon Hunters' m",62,1
rollingstone,https://www.threads.net/@rollingstone/post/DQXIy_rEQbx,"Happy birthday, juliaroberts!",382,4
rollingstone,https://www.threads.net/@rollingstone/post/DQVGsCuCoTj,"@fergie popped out at ludacris’ 25th anniversary show, performing for the first time in seven (!!) ",140,1
