username,post_url,post_text,likes,comments_count
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQuFhwAkgcO,Watch the first look teaser for TheTestamentOfAnnLee starring Amanda Seyfried - In select theaters t,10,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQuAc8vjPhi,"Watch the first look trailer for Michael - starring Jaafar Jackson as his uncle Michael Jackson. 

C",113,2
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQt-qWqEU1Y,"""Each of us brought something that was unique to the character of the film.""

Director Guillermo del",5,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQt0YnfiEYR,All-new character posters for the fifth and final season of StrangerThings.,28,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQsQVb1DdAt,Jacob Elordi shares the influences that helped him craft the Creature's movement style in Frankenste,27,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQsH86DAUJW,"AHouseOfDynamite is this week's most popular movie on Rotten Tomatoes.
https://editorial.rottentomat",15,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQsCkxTiOk9,"The sequel to critically acclaimed KPopDemonHunters is set to release on Netflix in 2029.

via Bloom",26,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQr_CS1gSBx,Watch the final trailer for Osgood Perkins’s new horror film Keeper.,34,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQr7M2bAi_I,"AllsFair is Rotten at 6% on the Tomatometer, with 16 reviews: https://www.rottentomatoes.com/tv/alls",12,4
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQr14FxCmDp,Check out the all-new teaser for WonderMan - premiering January 27 on Disney+.,60,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQr0M5cjO6D,First look at Simon’s powers in Marvel’s new series #WonderMan.,19,0
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQrx7vLj3o3,Check back tomorrow for the debut trailer of PercyJacksonAndTheOlympians: Season 2.,19,2
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQrtxUQCDTv,"PredatorBadlands is Certified Fresh at 90% on the Tomatometer, with 80 reviews:
https://www.rottento",61,2
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQrqulMgsbD,"Thoughts on Kathryn Bigelow's AHouseOfDynamite?
https://www.rottentomatoes.com/m/a_house_of_dynamite",13,1
rottentomatoes,https://www.threads.net/@rottentomatoes/post/DQrfAN9jfuJ,Xolo Maridueña has officially been cast as Portgas D. Ace in OnePiece Season 3.,58,1
