username,post_url,post_text,likes,comments_count
selenagomez,https://www.threads.net/@selenagomez/post/DHrrGkIxM6r,Thank you for all the support on I Said I Love You First 🖤 Slow & Reverbed version of the album is n,7257,4
selenagomez,https://www.threads.net/@selenagomez/post/DHqyy81xtO-,"Oh, you picked up? 💗 Call Me When You Break Up Special Edition with itsbennyblanco & @gracieabrams ",8542,4
selenagomez,https://www.threads.net/@selenagomez/post/DHoNR3eMH6_,One thing I can’t live without itsbennyblanco 🖤 That’s When I’ll Care (Seven Heavens Version) is av,9996,4
selenagomez,https://www.threads.net/@selenagomez/post/DHlozsgRncc,I guess one more doesn't hurt? Because we know you like this one….Talk is available for digital down,24536,3
selenagomez,https://www.threads.net/@selenagomez/post/DHgfgtPxoWh,Eight years later and you guys never forgot about this song 🖤 Your love for Stained has never gone a,14968,4
selenagomez,https://www.threads.net/@selenagomez/post/DHcqKN_ufwv,"I Said I Love You First with itsbennyblanco is officially out in the world! 🖤

benny, these songs r",14632,4
selenagomez,https://www.threads.net/@selenagomez/post/DHYw0QYpEi_,💙💙💙,9758,4
selenagomez,https://www.threads.net/@selenagomez/post/DHEMtVcRDZi,"Our first date was on Sunset Blvd, and it’s also the title of our next song together 🖤 Sunset Blvd o",15577,4
selenagomez,https://www.threads.net/@selenagomez/post/CwDORrfL1l8,"Y’all have been asking for new music for a while. Since I’m not quite done with SG3,  I wanted to pu",82744,3
selenagomez,https://www.threads.net/@selenagomez/post/CvAsfEGyAi1,I’m thankful for so much in my life & one of the things I am most thankful for is the work we’ve don,81628,4
selenagomez,https://www.threads.net/@selenagomez/post/CuYGMyApQmP,Hi,365380,3
