username,post_url,post_text,likes,comments_count
taylorswift,https://www.threads.net/@taylorswift/post/DPVUglOjOUu,"I can’t tell you how proud I am to share this with you, an album that just feels so right. A forever",134382,4
taylorswift,https://www.threads.net/@taylorswift/post/DPmdiIBEchY,Never been accused of not keeping it 💯,66207,4
taylorswift,https://www.threads.net/@taylorswift/post/DPeEbTpjlay,Pledge allegiance to your 👐 your 🏈 your viiiiiiiibes,82591,3
taylorswift,https://www.threads.net/@taylorswift/post/DPZ8O5FEmz4,"File this under “save your best for the finale”… 

Four limited CD releases each including two acous",39535,4
taylorswift,https://www.threads.net/@taylorswift/post/DPL_CCvgKE1,"She’s got 4️⃣ days left to rehearse for her big moment… 😂

Be the first to get your hands on The Lif",16145,3
taylorswift,https://www.threads.net/@taylorswift/post/DO_pHrEDqwB,"A showgirl knows to save some of her best tricks for the grand finale…
The Life of a Showgirl: The C",20943,4
taylorswift,https://www.threads.net/@taylorswift/post/DOylGWKjp0Q,"I hereby invite you to a *dazzling* soirée, The Official Release Party of a Showgirl: Oct 3 - Oct 5 ",32978,3
taylorswift,https://www.threads.net/@taylorswift/post/DN02ogO3OBg,Your English teacher and your gym teacher are getting married 🧨,888396,4
taylorswift,https://www.threads.net/@taylorswift/post/DNymZ5MYjF7,The Life of a Showgirl: The Tiny Bubbles in Champagne Vinyl Collection is available now on my site f,28278,4
taylorswift,https://www.threads.net/@taylorswift/post/DNUCa4WhRsx,"And, baby, that’s show business for you. New album The Life of a Showgirl. Out October 3  ❤️‍🔥

http",148247,3
taylorswift,https://www.threads.net/@taylorswift/post/DKSHVhfOgKq,"You belong with me.
💚💛💜❤️🩵🖤

Letter on my site :)",296718,4
taylorswift,https://www.threads.net/@taylorswift/post/C6USVJzOPli,"My mind is blown. I’m completely floored by the love you’ve shown this album. 
2.6 million ARE YOU A",128967,4
taylorswift,https://www.threads.net/@taylorswift/post/C57qukcudcX,It’s a 2am surprise: The Tortured Poets Department is a secret DOUBLE album. ✌️ I’d written so much ,269344,4
taylorswift,https://www.threads.net/@taylorswift/post/C57c9weMTDm,"An anthology of new works that reflect events, opinions & sentiments from a fleeting & fatalistic mo",329565,4
