comment_id,post_id,platform,author_name,author_id,comment_text,published_at,like_count,reply_count,sentiment_label,sentiment_score,crawled_at,is_reply,parent_comment_id
Ugwr6A3VhOQcuk5kBQt4AaABAg,qd3t_JSQXWo,YouTube,@KhoaiLangThang,UCZE88kYvCKUKjM-G0uc8Duw,"Kỷ niệm 3 triệu bà con cô bác đăng ký kênh, Khoai xin phép đăng clip lúc 7h sáng thứ hai đầu tuần. 😝<br>Thông tin về thẻ hội viên Bông Sen Vàng Khoai chia sẻ trong clip chỉ mang tính chất tham khảo, mọi người nhớ xem thêm thông tin từ trang chính thức của hãng Vietnam Airlines để có thông tin chính xác nhất nha.",2025-10-13T00:37:30Z,955,0,,,2025-10-26T23:04:07.563279,False,
UgzgzuSAtclet8xeTnx4AaABAg,qd3t_JSQXWo,YouTube,@ZeroOne0611,UCizsFAY9ibVg5N1Zimf6kEQ,"2 bạn này giỏi thật sự, ko cần ekip hùng hậu, chỉ có 2 người, qua nước ngoài tự đi, tự quay, tự lái xe luôn, đúng chuẩn là vlog du lịch. Chúc 2 bạn có 1 chuyến đi thật vui và an toàn",2025-10-15T17:06:11Z,867,0,,,2025-10-26T23:04:07.563279,False,
UgwbV7DPidHrWQACdah4AaABAg,qd3t_JSQXWo,YouTube,@KhoaiLangThang,UCZE88kYvCKUKjM-G0uc8Duw,Khoai bị ghiền du lịch bằng nhà di động luôn rồi. Cái xe quá đã.,2025-10-13T00:34:04Z,830,0,,,2025-10-26T23:04:07.563279,False,
UgwFlgXK-Q1wXgktBnZ4AaABAg,qd3t_JSQXWo,YouTube,@KhoaiLangThang,UCZE88kYvCKUKjM-G0uc8Duw,"Tự nhiên đang đứng mua vé tàu. Cái Khoai được cô kia kêu cầm vé tàu của cô đi đi, khỏi mua. Cái Khoai hú hồn luôn.",2025-10-13T00:33:33Z,625,0,,,2025-10-26T23:04:07.563279,False,
Ugzw-xqcG6H9zita6th4AaABAg,qd3t_JSQXWo,YouTube,@vy.cloudie1638,UC5SntXLfB-wby1xcN4pZbxw,"coi ông Khoai nhiều mới thấy ông Su giỏi ghê á cái gì cũng làm được từ quay phim, nói tiếng anh hay lái xe cái gì ông cũng làm được",2025-10-13T10:04:15Z,357,0,,,2025-10-26T23:04:07.563279,False,
Ugxkrtu6Fwa1gQOKGOF4AaABAg,qd3t_JSQXWo,YouTube,@jennynguyen1252,UC4wExtKdTV9rD2NygvqyOVA,"Khoai ơi,minh ở München Đức. Theo mình biết chị ấy mua vé xe này chị đã sử dụng rồi tuy nhiên vé vẫn còn hiệu lực đến 6 giờ sáng hôm sau cho nên chị ấy có thể tìm ai cần vé để cho hoặc bán rẻ. chắc chị ấy muốn cho Khoai vé nhưng Khoai muốn gửi tiền lại chứ chị không có ý lừa Khoai đâu",2025-10-13T09:15:33Z,227,0,,,2025-10-26T23:04:07.563279,False,
UgxFaLX1dauQH__7jal4AaABAg,qd3t_JSQXWo,YouTube,@tuananhle398,UC2XjQ7VEHjLn4Kz7zlfB_JA,"Tính ra su giỏi quá a ơi, cho e gửi lời khen ₫ến bạn su, 1 người bạn ₫ồng hành tuyệt vời, giỏi tiếng Anh, giúp a giao tiếp giúp việc du lịch dễ dàng, biết lái xe tay lái cứng khắp nơi chạy tốt trên mọi nẻo đường, 2 ae tuyệt vời ai cũng giỏi hết, chúc hai ae luôn nhiều sức khỏe, mọi thành trình luôn vui vẻ và thuận lợi nhé",2025-10-15T04:35:25Z,209,0,,,2025-10-26T23:04:07.563279,False,
Ugyw9maVxqOcE-GinSJ4AaABAg,qd3t_JSQXWo,YouTube,@Kimthienthien98,UCm8UFrCzRFjku-N-C4mjPUQ,"Mê a Khoai nhưng vẫn phải khen a Su nữa nha, chiếc xe bây lớn đó mà ổng lái cũng được luôn, nể ổng thiệt. Có những người mà lạ xe, lạ tay lái, lạ chỗ là k dám chạy xe đâu, mà ổng lái bon bon luôn. Chấn động thiệt",2025-10-13T04:06:33Z,207,0,,,2025-10-26T23:04:07.563279,False,
UgwoRjK59jMOL50QM8J4AaABAg,qd3t_JSQXWo,YouTube,@Tranoanh-u9g,UCd9oFR805dLWty0_WvNvb6A,"Việc cho vé là chuyện bình thường. Dân họ vốn tiết kiệm, khi không cần nữa mà vé còn hạn thì họ thường tìm người đang mua vé ở máy tự động để cho. Không cần phải trả tiền, chỉ cần một lời cảm ơn là đủ nhưng nếu thấy là sinh viên thì nên cho họ một chút - thường bằng nửa số tiền đáng lẽ mình phải trả, không đưa nhiều vì sẽ làm họ cảm thấy ngại -  sinh viên thường nghèo, rất cần tiền. <br>Mình cũng làm vậy, khi cho đi được cũng thấy trong lòng vui lên một chút. Mất một vài phút mà cả mình và người khác đều vui thì cũng đáng.",2025-10-13T18:24:38Z,202,0,,,2025-10-26T23:04:07.563279,False,
UgxfH9lDMkjFS3cjujZ4AaABAg,qd3t_JSQXWo,YouTube,@Chu_Chaau,UC3_xubH20PRFrphnsIZ3ukA,"Chỉ mới ở Đức thôi mà đẹp điên người rồi. Qua tới Thụy Sỹ đẹp x5, X10 nữa. Đúng là Châu Âu. Chúc khoai có chuyến du lịch Châu Âu thật tuyệt vời mang những thước phim đẹp đến với mọi người.",2025-10-13T07:17:58Z,135,0,,,2025-10-26T23:04:07.563279,False,
UgzLtyECZ4sXyYB7cR54AaABAg,qd3t_JSQXWo,YouTube,@LouuisPham_PhatNe,UCFEBDX0uC55rVcFlkrf1w2g,"Chời ơi, em xem mà tự hào về anh và  anh Su lắm luôn á. Vừa giỏi vừa tài năng, và em bất ngờ về anh Su là có thể lái 1 chiếc RV chở anh trong chuyến đi này để vlog này mọi người xem mà cảm thấy hãnh diện lắm luôn ạ. Như tên kênh của anh vậy á. Mong chờ những vlog sắp tới và mong anh và anh Su có chuyến đi chơi thật là nhiều kỷ niệm đẹp và nhiều chuyến phiêu lưu đang chờ đón ạ",2025-10-13T06:15:58Z,83,0,,,2025-10-26T23:04:07.563279,False,
UgyJcr6axCL6UMk8FaJ4AaABAg,qd3t_JSQXWo,YouTube,@nhiennguyen634,UC5s9vPW26KlMDXgp5Md4Qmg,"Công nhận sức khỏe Khoai và Su dẻo dai thiệt á,vừa đi vừa quay mà ăn kiểu fast food vậy dễ mất sức,chưa kể thay đổi giờ giấc khí hậu.",2025-10-13T20:16:21Z,82,0,,,2025-10-26T23:04:07.563279,False,
UgyccRHhJdGcPA_yS9x4AaABAg,qd3t_JSQXWo,YouTube,@ngochungphamvu1162,UCEqxObX0V_z31yYFgkii5AQ,"Em đang làm sửa chữa và bảo dưỡng mobihome ở Đức lun thì xem được vlog của 2 anh dễ thương quá. Ở Đức những người trung tuổi hoặc có gia đình con cái là họ sở hữu mobihome rất nhiều, họ yêu thích du lịch tự túc trải nghiệm kiểu vầy lắm ạ. Trên 1 chiếc xe như vậy mà họ có thể build được đầy đủ mọi thứ ngăn nắp, thông minh, mà đi lại cũng vẫn rất an toàn, mỗi tội lúc sửa thì hơi vất vả thui 😅",2025-10-14T17:02:17Z,58,0,,,2025-10-26T23:04:07.563279,False,
Ugxkrtu6Fwa1gQOKGOF4AaABAg.AOD7QXkCLp5AODRn_9_Bs2,qd3t_JSQXWo,YouTube,@quile1460,UC3GKiKKhiIEXeuClfmvguzQ,Cái hay là họ vẫn nán lại bỏ chút thời gian quý báu để tặng cho người cần và còn ko muốn lấy tiền.. nước họ văn minh gê..,2025-10-13T12:13:36Z,54,0,,,2025-10-26T23:04:07.563279,True,Ugxkrtu6Fwa1gQOKGOF4AaABAg
UgwcIaCU7wa1j15NOYR4AaABAg,qd3t_JSQXWo,YouTube,@Lymyanfamily,UC8MPpaZO7dCwH6CaIm8DdFA,"Thật sự chị rất thích tính cách của Khoai, k cần biết có bị lừa hay k (trong đoạn Khoai mua vé tàu) nhưng Khoai vẫn cho đi lòng tin…giữa một thế giới con người luôn sống trong nghi kỵ. Trong các YouTuber Nam, Khoai vẫn luôn là lựa chọn của chị, rất nhẹ nhàng khi xem kênh của em. Chúc em nhiều sức khỏe và bình an trong mọi hành trình.",2025-10-13T03:47:50Z,50,0,,,2025-10-26T23:04:07.563279,False,
UgwDmWhHyWX3V6JO5k94AaABAg,qd3t_JSQXWo,YouTube,@chaotatca2003,UCYvxzQQq5SyXMxTTA-v045Q,"RV và Mobile Home khác nhau em Khoa :) <br><br>RV (Nhà Di Động có bánh xe, nhưng có thể duy chuyển được khắp nơi)<br>Mobile Home (Nhà nhỏ thường giống cái hộp được xây sẵn ở nhà máy rồi xe tải vận chuyển (mobile)  tới miếng đất nào đó rồi để xuống, không có bánh xe hoặc di chuyển được, nhưng vì nhà nhỏ do xe chở tới thay vì tự xây nên gọi là mobile home). <br><br>RV dành cho người già về hưu thích di du ngoạn khắp nơi, Người trẻ cũng thích ở RV nhưng thường giá RV có thể bằng giá 1 căn nhà bình thường nên người trẻ không đủ sở phí để mua. ($150,000-$500,000)<br>Mobile Home rẻ hơn và dành cho người có thu nhập thấp. ($15,000-$20,000)<br><br>Cái Khoa đang trải nghiệm là RV đó, ở vui lắm, muốn di du lịch thành phố nào là chạy nguyên chiếc xe+nhà đi luôn.<br><br>Chúc em chuyến đi an toàn và vui vẻ :)",2025-10-13T16:15:26Z,46,0,,,2025-10-26T23:04:07.563279,False,
UgxOvPfkMGXa7G30mXd4AaABAg,qd3t_JSQXWo,YouTube,@lehalan8020,UCXo6__sWerbLVUmrFGnR_dQ,"Nếu đã khen aKhoai, thì k thể không khen SU được. SU người cộng sự của aKhoai tuyệt vời. SU giao tiếp tốt, lái xe cũng giỏi nữa, bất cứ ở đâu xe nào cũng bon bon được cả 💯🎉",2025-10-16T14:35:54Z,45,0,,,2025-10-26T23:04:07.563279,False,
UgzTcOEhr3NjxDkGnkx4AaABAg,qd3t_JSQXWo,YouTube,@Choioianimation,UCVJi1VwBqnt4edySR7OA9hw,Xem khúc đầu anh Khoai đúng người lạc quan và tích cực luôn á. Dù chưa biết vé thật hay giả. Cái năng lượng này là thứ luôn thích ở mọi chuyến đi của anh truyền tải. Chúc anh luôn có những trải nghiệm đẹp và may mắn.,2025-10-13T08:03:27Z,38,0,,,2025-10-26T23:04:07.563279,False,
UgwD4I-Yu1RR-Nq4Ww94AaABAg,qd3t_JSQXWo,YouTube,@thiphile1457,UCAzhcL5WswpqsERqUuQ-atg,"Mình ở München 37 năm rất vui khi bạn giới thiệu du lịch Châu Âu đến với mọi người Việt Nam mình trên thế giới, hai bạn giỏi quá 🎉❤",2025-10-16T06:49:14Z,37,0,,,2025-10-26T23:04:07.563279,False,
UgwmM5zO8O4Ax0ThpVF4AaABAg,qd3t_JSQXWo,YouTube,@HuyNguyen-kq7ie,UC1E76g1mnyapFl79PKkxLJA,"<a href=""https://www.youtube.com/watch?v=qd3t_JSQXWo&amp;t=375"">6:15</a> Đúng là Khoai Lang Thang cho dù nghi ngờ vẫn chọn lòng tốt 😁😁",2025-10-13T05:52:54Z,29,0,,,2025-10-26T23:04:07.563279,False,
Ugzw-xqcG6H9zita6th4AaABAg.AODD-D6jMxFAODku9fw1Se,qd3t_JSQXWo,YouTube,@trungsonglanh,UCf5wkiplsUcA-fFGSytyCUQ,Con tướng này mạnh quá,2025-10-13T15:09:16Z,26,0,,,2025-10-26T23:04:07.563279,True,Ugzw-xqcG6H9zita6th4AaABAg
Ugw4flI_jLQeN8JJ8Al4AaABAg,qd3t_JSQXWo,YouTube,@PhuongAnh-tk2hf,UCRQ5yaL0dhWGrKwJnZaxRtQ,"Vlog của anh nó có nét riêng lắm. Nó đơn giản nhưng lại miêu tả được hết những khung cảnh, tính cách con người một cách chân thật. Anh không hề edit cầu kì nhưng khi xem em được truyền cảm hứng và cảm thấy thôi thúc muốn đi đến đó lắm. Lần đầu tiên em có cảm giác như vậy. Cứ đơn giản thì mới là Khoai Lang Thang!!",2025-10-13T05:17:30Z,26,0,,,2025-10-26T23:04:07.563279,False,
UgwFlgXK-Q1wXgktBnZ4AaABAg.AOCBgBjzo2dAOCLYEEt1EW,qd3t_JSQXWo,YouTube,@caca-bn4pv,UCfHuX5NGzzEcZfprSHJWlTw,"e thắc mắc nếu  khoai mua thì giá vé đó tầm bao nhiu v ạ, thấy cô cute quá :3, chọn người cho chứ ko pass kkkk",2025-10-13T01:59:42Z,25,0,,,2025-10-26T23:04:07.563279,True,UgwFlgXK-Q1wXgktBnZ4AaABAg
Ugw85xr9H5y-_dwl-cd4AaABAg,qd3t_JSQXWo,YouTube,@dongtruc8066,UCohugLh7wWHGQ8Dn_CUJGlg,"Hai anh em dễ thương và giỏi quá! Su tuyệt quá nghen! Nhận cái xe lạ hoắc, to đùng đoàng, đường sá … tất tật đều mới lần đầu tiếp cận mà Su lái ngon ơ, mướt rượt luôn! Chúc hai anh em chuyến đi thật nhiều điều thú vị!",2025-10-13T06:26:51Z,24,0,,,2025-10-26T23:04:07.563279,False,
UgxGNNvvgqv_V9ZcQNx4AaABAg,qd3t_JSQXWo,YouTube,@LeLy-ht7rh,UCdoVi7tFTFvd_z2aOIAnYPQ,"Sao mà mê hai chàng trainày quá chừng, vừa đẹp vừa giỏi những con người văn minh lịch sự đáng để ngưỡng mộ.",2025-10-16T13:38:23Z,23,0,,,2025-10-26T23:04:07.563279,False,
UgwbV7DPidHrWQACdah4AaABAg.AOCBk284haZAOCInPESxXQ,qd3t_JSQXWo,YouTube,@duongnguyen2397,UCmKODXiE3lzspzAiLwrv0pg,"Em cũng thích đi du lịch kiểu tự túc bằng xe mobihome, nó oách gì đâu á. Tiện đây, em cũng muốn nói là em hóng vid của anh mình mãi, ngày nào cũng hóng luôn, hóng dài cổ luôn á anh mình. Em cũng chúc anh mình đã đạt được 3tr sub, chúc anh mình sẽ càng được thật nhiều người đăng ký kênh ạ. Buổi sáng thật nhiều năng lượng với vid mới của anh mình. Cảm ơn anh mình nhiều ạ! ❤💙 Luv ya! 😊🥰",2025-10-13T01:35:42Z,22,0,,,2025-10-26T23:04:07.563279,True,UgwbV7DPidHrWQACdah4AaABAg
UgwdoeQLiF8KL52IigV4AaABAg,qd3t_JSQXWo,YouTube,@abikalypsegaming5726,UCJjODVLk7IGZQRP4vw23HVA,"Ở Đức có những người họ mua vé  mà không xử dụng,thì đem tặng lại cho người khác.Đó là chuyện bình thường ở Đức,bạn này rất may mắn",2025-10-15T18:26:14Z,22,0,,,2025-10-26T23:04:07.563279,False,
Ugyw9maVxqOcE-GinSJ4AaABAg.AOC_3D9WjUdAOD8NYp2z71,qd3t_JSQXWo,YouTube,@Kimthienthien98,UCm8UFrCzRFjku-N-C4mjPUQ,"​@hannahnguyen6113thì đương nhiên vẫn có sợ rồi, đường mới, xe mới, xe dài nữa, nên cũng có rén. Nhưng mà a Su vẫn dám lái, còn tui là k rồi đó. Ý là chỉ xe máy thôi mà xe lạ mà chạy chỗ tui ở mà tui còn k dám chạy, nói chi qua chỗ khác chạy",2025-10-13T09:23:53Z,19,0,,,2025-10-26T23:04:07.563279,True,Ugyw9maVxqOcE-GinSJ4AaABAg
UgzgzuSAtclet8xeTnx4AaABAg.AOJ6sFjIC9KAOKKMymB8LE,qd3t_JSQXWo,YouTube,@ATON-ko2md,UChjEonrwDT59S5Uq24cQj1g,su giỏi quá chc có bằng lái nước ngoài hả anh,2025-10-16T04:23:21Z,18,0,,,2025-10-26T23:04:07.563279,True,UgzgzuSAtclet8xeTnx4AaABAg
Ugy_0fDApMs0_I0TdFN4AaABAg,qd3t_JSQXWo,YouTube,@thaithinhha6877,UCnqAHzixmFkU7j9MZuOVOYw,"Chú kia kinh doanh thật thà tốt bụng, chắc chắn sẽ nhiều khách thuê",2025-10-15T14:47:00Z,18,0,,,2025-10-26T23:04:07.563279,False,
