comment_id,post_id,platform,author_name,author_id,comment_text,published_at,like_count,reply_count,sentiment_label,sentiment_score,crawled_at,is_reply,parent_comment_id,comment_text_clean,language,text_length,word_count,is_valid,cleaned_at
Ugy-NcLvotG43-4AAG54AaABAg,3RmOvxilbPM,YouTube,@MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,This is one of the biggest traps video I&;ve ever done lol. Who did you expect to win?,2025-11-08T16:58:05Z,30057,0,,,2025-11-16T21:43:03.857521,False,,one biggest traps video i&;ve ever done lol. who expect win?,en,86,18,True,2025-11-16T21:43:12.698397
UgxnlDuaV98Wa22m1GN4AaABAg,3RmOvxilbPM,YouTube,@omarabdallah3436,UCEnxa_FxneXOQLbdnoCWwpQ,Justice for Tomer.,2025-11-09T14:22:24Z,23909,0,,,2025-11-16T21:43:03.857521,False,,justice tomer.,en,18,3,True,2025-11-16T21:43:12.698397
UgyKGmO1xSFCJ0H9lKB4AaABAg,3RmOvxilbPM,YouTube,@Spunkyy,UCOW0lbzi4TaNRw_E4z-m-xw,"No doubt, Tomer is the MVP for this entire video.",2025-11-08T17:34:25Z,20217,0,,,2025-11-16T21:43:03.857521,False,,"no doubt, tomer mvp entire video.",en,49,10,True,2025-11-16T21:43:12.698397
Ugz2Iv5CGYDwa8oFDq14AaABAg,3RmOvxilbPM,YouTube,@Johpat-3p4t,UCxWJDpU8lVlRoIauMM9-YTw,"Bailey is literally the definition of being in a group project, doing nothing, and still getting an A",2025-11-10T22:36:41Z,17465,0,,,2025-11-16T21:43:03.857521,False,,"bailey literally definition being group project, doing nothing, still getting",en,101,18,True,2025-11-16T21:43:12.698915
UgzYbQNUzWpBzJps_w94AaABAg,3RmOvxilbPM,YouTube,@suhanshrestha5026,UCRf_BlX0ct097NHIVS5jipw,the most undeserved winner in mr beast history,2025-11-09T16:37:04Z,16108,0,,,2025-11-16T21:43:03.857521,False,,most undeserved winner mr beast history,en,46,8,True,2025-11-16T21:43:12.698915
UgzCmlkzzrgyJjeSnGl4AaABAg,3RmOvxilbPM,YouTube,@arponsaha789,UCS-CHQauItVWncJvJsCjA3w,im sorry but this is the first time I&;ve ever been disappointed by a MrBeast winner,2025-11-09T13:21:49Z,14770,0,,,2025-11-16T21:43:03.857521,False,,im sorry first time i&;ve ever disappointed mrbeast winner,en,84,16,True,2025-11-16T21:43:12.698915
Ugyc3NUpWx1rOo_oKh14AaABAg,3RmOvxilbPM,YouTube,@NxMercyy,UCtUDun8NTPIYoLZz1SYrCAQ,Without a doubt the worst challenge winner. Tomer carried her through 3 games lmao,2025-11-08T23:07:29Z,14547,0,,,2025-11-16T21:43:03.857521,False,,without doubt worst challenge winner. tomer carried through 3 games lmao,en,82,14,True,2025-11-16T21:43:12.698915
UgwN6labn5np98S_mFd4AaABAg,3RmOvxilbPM,YouTube,@rodaka7258,UClvxpIAEANiavpG5TW7Cfrw,Baylee was probably one of the only people i was hoping NOT to win bruh,2025-11-10T17:25:34Z,11212,0,,,2025-11-16T21:43:03.857521,False,,baylee probably one only people hoping not win bruh,en,71,15,True,2025-11-16T21:43:12.698915
Ugy141wXqB1SAM_mMul4AaABAg,3RmOvxilbPM,YouTube,@lukewymer178,UC0zZeIghskQE2lsc7VxRNaA,Tomer quite literally carried this episode. The fact that he saved her and she betrayed him is wild work. Bring him back!,2025-11-11T22:20:33Z,10605,0,,,2025-11-16T21:43:03.857521,False,,tomer quite literally carried episode. fact saved betrayed wild work. bring back!,en,121,22,True,2025-11-16T21:43:12.698915
UgxPT6iT0zitz3ZsUtN4AaABAg,3RmOvxilbPM,YouTube,@d4vidz,UC9gGVoL2HD0xyLAhxVCCetA,Tomer is the true hero💪,2025-11-08T18:03:01Z,9342,0,,,2025-11-16T21:43:03.857521,False,,tomer true hero💪,en,23,5,True,2025-11-16T21:43:12.699423
UgzMGBZC-Ze24CU5zPt4AaABAg,3RmOvxilbPM,YouTube,@T0N3E,UC0DB75N5H0s4t5Vcley547Q,Most undeserved Mr beast win of all time,2025-11-09T10:45:28Z,7565,0,,,2025-11-16T21:43:03.857521,False,,most undeserved mr beast win all time,en,40,8,True,2025-11-16T21:43:12.699423
UgwNWVVmfN65uvKsdkZ4AaABAg,3RmOvxilbPM,YouTube,@mukta606,UCXeQhabfR5PCFk0MMThLwMQ,IM SORRY BUT THIS IS FIRST TIME I&;VE EVER BEEN DISAPPOINTEN BY A MRBEAST WINNER......!!,2025-11-11T08:49:44Z,7448,0,,,2025-11-16T21:43:05.860521,False,,im sorry first time i&;ve ever disappointen mrbeast winner......!!,en,88,15,True,2025-11-16T21:43:12.699423
Ugwzf6bTKJsyx4ul5Od4AaABAg,3RmOvxilbPM,YouTube,@miohvh,UCgnDbFsQD2zYjzZiJycPG3Q,i dont think i&;ve ever been more mad at someone winning,2025-11-09T08:01:58Z,7167,0,,,2025-11-16T21:43:03.857521,False,,dont think i&;ve ever more mad someone winning,en,56,11,True,2025-11-16T21:43:12.699939
UgxinR_GEqQZx4jShUp4AaABAg,3RmOvxilbPM,YouTube,@strangegamerz7,UC1slyA6RaO-AJi3gFr3xVtw,"Tommer was the one who showed Absolute Sportsmanship , saved all his teammates in round 3 , pure domination and precision . He was the most deserved to Win this 😭😭😭Pls bring back Tommer in next Video",2025-11-09T15:07:48Z,7003,0,,,2025-11-16T21:43:03.857521,False,,"tommer one who showed absolute sportsmanship , saved all his teammates round 3 , pure domination precision . most deserved win 😭😭😭pls bring back tommer next video",en,199,37,True,2025-11-16T21:43:12.699939
UgysgCP8Gu5OSVrJNt94AaABAg,3RmOvxilbPM,YouTube,@SyedNeelabAzhar,UCOHOMBzBnyfJzOSNRRfAhOw,We want Tomer back,2025-11-09T14:40:44Z,6571,0,,,2025-11-16T21:43:04.542330,False,,want tomer back,en,18,4,True,2025-11-16T21:43:12.699939
UgydacJxkT1lN7jg6K94AaABAg,3RmOvxilbPM,YouTube,@shrutika_world,UCHBsB96A2zT3mPmlrZ4qDKA,Tomar was real deserving winner 😢,2025-11-09T14:35:45Z,5649,0,,,2025-11-16T21:43:05.860521,False,,tomar real deserving winner 😢,en,33,6,True,2025-11-16T21:43:12.699939
UgzsOEfjKQEpFtb6Hp94AaABAg,3RmOvxilbPM,YouTube,@arturosparnanzoni6871,UCSMogN_dr-DSBxebARKSY7A,we all want tomer to come back in another challenge. he really deserved that win... 💔💔💔💔,2025-11-10T17:26:39Z,4974,0,,,2025-11-16T21:43:03.857521,False,,all want tomer come back another challenge. really deserved win... 💔💔💔💔,en,88,16,True,2025-11-16T21:43:12.699939
Ugw_FBZSm-f0tm110J14AaABAg,3RmOvxilbPM,YouTube,@AvengerKing150,UCxy2I1IDgD4BhPMB1XvTu2g,Give Tomer another chance!!! Tomer was definitely the MVP.,2025-11-10T16:13:14Z,4078,0,,,2025-11-16T21:43:03.857521,False,,give tomer another chance!!! tomer definitely mvp.,en,58,9,True,2025-11-16T21:43:12.699939
Ugynt7wZsBuj_mh2vIF4AaABAg,3RmOvxilbPM,YouTube,@leonpijnappel106,UCYk-_vmfN2FmWxhsYGXZWwQ,"Tomer deserved to win. He is an absolute legend. He did everything in his power to get to that last round: Respect, power, strength and speed just to get finished in the last round.",2025-11-08T20:39:42Z,3675,0,,,2025-11-16T21:43:03.857521,False,,"tomer deserved win. absolute legend. everything his power get last round: respect, power, strength speed just get finished last round.",en,181,34,True,2025-11-16T21:43:12.700448
UgwnPKof-mKeAB-Pcth4AaABAg,3RmOvxilbPM,YouTube,@flashy4429,UCy0y1iib9zcqe8ADA0KJY-A,This is the most undeserved trophy ever .,2025-11-09T09:56:47Z,3388,0,,,2025-11-16T21:43:04.542330,False,,most undeserved trophy ever .,en,41,8,True,2025-11-16T21:43:12.700448
UgwNJaVFiVJTznnmK0p4AaABAg,3RmOvxilbPM,YouTube,@gersongranados8064,UCgZCZMAvpnvUxJslk3uaWqQ,Tomer!! We need him back!! He deserved to win,2025-11-08T18:54:55Z,3341,0,,,2025-11-16T21:43:03.857521,False,,tomer!! need back!! deserved win,en,45,9,True,2025-11-16T21:43:12.700448
UgzzUuo3IZ8cbzAnioh4AaABAg,3RmOvxilbPM,YouTube,@India46417,UCSlKxdsB4LFDCqXz4rpt5MQ,this is the first time I have been disappointed by Mr beast winner Bailey did not deserve to win,2025-11-09T14:14:57Z,3264,0,,,2025-11-16T21:43:06.681946,False,,first time disappointed mr beast winner bailey not deserve win,en,96,19,True,2025-11-16T21:43:12.700448
UgyU05co9IEzoduaT0l4AaABAg,3RmOvxilbPM,YouTube,@guidesfortech,UC_p1AkRw-s-sUA2SdPIDq2A,it&;s the first time i&;m disappointed with a Mr Beast contest winner,2025-11-10T10:46:41Z,3141,0,,,2025-11-16T21:43:05.860521,False,,it&;s first time i&;m disappointed mr beast contest winner,en,69,12,True,2025-11-16T21:43:12.700448
UgytHHxiZ12xZ1AI9NB4AaABAg,3RmOvxilbPM,YouTube,@Andrew-a0402,UCiVCVSbE55Cqg9LZtTPb5eQ,Tomer is the real hero of this video.,2025-11-08T17:27:33Z,3004,0,,,2025-11-16T21:43:03.857521,False,,tomer real hero video.,en,37,8,True,2025-11-16T21:43:12.700448
Ugzci7WSfUAdg_WsdT14AaABAg,3RmOvxilbPM,YouTube,@ZrenyxYT,UCghIAiHGpUPSiVHpZqukpPw,Tomer helped Bayley to win. Bayley helped Tomer to lose. It&;s just crazy how it ended. Salute for my boy Tomer🥀🫡,2025-11-09T08:19:44Z,2954,0,,,2025-11-16T21:43:03.857521,False,,tomer helped bayley win. bayley helped tomer lose. it&;s just crazy how ended. salute my boy tomer🥀🫡,en,113,21,True,2025-11-16T21:43:12.700448
UgwQ9k1OdYedjlXU2BF4AaABAg,3RmOvxilbPM,YouTube,@2d.o,UC_1mHSl63RumWMRsPI9Djcg,"<a href="""">30:25</a> she did not 😥",2025-11-08T20:10:20Z,2936,0,,,2025-11-16T21:43:05.860521,False,,"<a href="""">30:25</a> not 😥",en,34,6,True,2025-11-16T21:43:12.700965
